<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
FB-RM;60;20200915;190000;20462.0000000;20502.0000000;20407.0000000;20456.0000000;21
FB-RM;60;20200915;200000;20456.0000000;20493.0000000;20450.0000000;20485.0000000;24
FB-RM;60;20200915;210000;20494.0000000;20505.0000000;20494.0000000;20498.0000000;20
FB-RM;60;20200915;220000;20498.0000000;20498.0000000;20426.0000000;20426.0000000;5
FB-RM;60;20200915;230000;20296.0000000;20420.0000000;20296.0000000;20420.0000000;8
FB-RM;60;20200916;0;20420.0000000;20473.0000000;20420.0000000;20420.0000000;3
FB-RM;60;20200916;110000;20180.0000000;20304.0000000;20150.0000000;20291.0000000;388
FB-RM;60;20200916;120000;20291.0000000;20291.0000000;20168.0000000;20262.0000000;113
FB-RM;60;20200916;130000;20263.0000000;20263.0000000;20150.0000000;20150.0000000;104
FB-RM;60;20200916;140000;20151.0000000;20168.0000000;20133.0000000;20133.0000000;75
FB-RM;60;20200916;150000;20133.0000000;20134.0000000;20053.0000000;20102.0000000;35
FB-RM;60;20200916;160000;20102.0000000;20128.0000000;20102.0000000;20128.0000000;3
FB-RM;60;20200916;170000;20128.0000000;20424.0000000;19990.0000000;20277.0000000;149
FB-RM;60;20200916;180000;20280.0000000;20287.0000000;20050.0000000;20133.0000000;58
FB-RM;60;20200916;190000;20175.0000000;20204.0000000;20141.0000000;20141.0000000;5
FB-RM;60;20200916;200000;20100.0000000;20100.0000000;19925.0000000;19925.0000000;121
FB-RM;60;20200916;210000;19910.0000000;19968.0000000;19840.0000000;19900.0000000;298
FB-RM;60;20200916;220000;19900.0000000;19973.0000000;19830.0000000;19850.0000000;256
FB-RM;60;20200916;230000;19870.0000000;19870.0000000;19670.0000000;19832.0000000;279
FB-RM;60;20200917;0;19800.0000000;19925.0000000;19781.0000000;19925.0000000;18
FB-RM;60;20200917;110000;19700.0000000;19700.0000000;19453.0000000;19577.0000000;122
FB-RM;60;20200917;120000;19577.0000000;19659.0000000;19522.0000000;19649.0000000;31
FB-RM;60;20200917;130000;19663.0000000;19664.0000000;19650.0000000;19664.0000000;21
FB-RM;60;20200917;140000;19678.0000000;19678.0000000;19619.0000000;19619.0000000;7
FB-RM;60;20200917;150000;19582.0000000;19605.0000000;19480.0000000;19480.0000000;43
FB-RM;60;20200917;160000;19512.0000000;19520.0000000;19450.0000000;19519.0000000;26
FB-RM;60;20200917;170000;19490.0000000;19680.0000000;19380.0000000;19539.0000000;48
FB-RM;60;20200917;180000;19528.0000000;19571.0000000;19379.0000000;19544.0000000;69
FB-RM;60;20200917;190000;19498.0000000;19498.0000000;19240.0000000;19261.0000000;101
