<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
MVID;D;20150817;0;198.7000000;23490
MVID;D;20150818;0;195.0000000;34040
MVID;D;20150819;0;196.2000000;123750
MVID;D;20150820;0;195.6000000;81250
MVID;D;20150821;0;196.4000000;64280
MVID;D;20150824;0;188.0000000;119600
MVID;D;20150825;0;192.4000000;69230
MVID;D;20150826;0;193.6000000;188530
MVID;D;20150827;0;197.6000000;267880
MVID;D;20150828;0;199.7000000;90140
MVID;D;20150831;0;210.0000000;133700
MVID;D;20150901;0;207.8000000;127050
MVID;D;20150902;0;206.2000000;34030
MVID;D;20150903;0;205.5000000;33460
MVID;D;20150904;0;203.5000000;18850
MVID;D;20150907;0;202.0000000;50210
MVID;D;20150908;0;201.5000000;11170
MVID;D;20150909;0;201.0000000;51830
MVID;D;20150910;0;201.0000000;35790
MVID;D;20150911;0;202.3000000;68890
MVID;D;20150914;0;200.8000000;30540
MVID;D;20150915;0;203.0000000;60330
MVID;D;20150916;0;201.8000000;21580
MVID;D;20150917;0;200.0000000;42930
MVID;D;20150918;0;200.3000000;14530
MVID;D;20150921;0;203.0000000;16330
MVID;D;20150922;0;200.0000000;23720
MVID;D;20150923;0;198.2000000;34170
MVID;D;20150924;0;199.3000000;69550
MVID;D;20150925;0;200.8000000;39940
MVID;D;20150928;0;200.0000000;17330
MVID;D;20150929;0;201.4000000;66430
MVID;D;20150930;0;205.5000000;60710
MVID;D;20151001;0;207.3000000;351910
MVID;D;20151002;0;208.9000000;140680
MVID;D;20151005;0;205.7000000;40610
MVID;D;20151006;0;207.4000000;61410
MVID;D;20151007;0;209.1000000;168410
MVID;D;20151008;0;209.9000000;97120
MVID;D;20151009;0;206.7000000;17620
MVID;D;20151012;0;206.8000000;207310
MVID;D;20151013;0;209.0000000;22860
MVID;D;20151014;0;208.9000000;57070
MVID;D;20151015;0;208.0000000;61720
MVID;D;20151016;0;210.9000000;20370
MVID;D;20151019;0;208.5000000;38870
MVID;D;20151020;0;207.3000000;26290
MVID;D;20151021;0;204.9000000;30180
MVID;D;20151022;0;208.6000000;19410
MVID;D;20151023;0;216.0000000;150420
MVID;D;20151026;0;220.5000000;80870
MVID;D;20151027;0;221.9000000;62770
MVID;D;20151028;0;225.2000000;50490
MVID;D;20151029;0;225.8000000;58790
MVID;D;20151030;0;227.7000000;58140
MVID;D;20151102;0;228.5000000;66090
MVID;D;20151103;0;243.5000000;175820
MVID;D;20151105;0;240.3000000;107290
MVID;D;20151106;0;238.7000000;132060
MVID;D;20151109;0;246.7000000;67310
MVID;D;20151110;0;244.5000000;64250
MVID;D;20151111;0;245.0000000;40650
MVID;D;20151112;0;243.1000000;69070
MVID;D;20151113;0;236.0000000;85080
MVID;D;20151116;0;240.5000000;89160
MVID;D;20151117;0;245.1000000;43430
MVID;D;20151118;0;245.6000000;70850
MVID;D;20151119;0;245.0000000;116480
MVID;D;20151120;0;246.3000000;81310
MVID;D;20151123;0;251.8000000;80700
MVID;D;20151124;0;251.8000000;189700
MVID;D;20151125;0;252.8000000;51730
MVID;D;20151126;0;252.7000000;66660
MVID;D;20151127;0;252.4000000;153000
MVID;D;20151130;0;243.4000000;49110
MVID;D;20151201;0;253.4000000;42650
MVID;D;20151202;0;257.8000000;101650
MVID;D;20151203;0;267.8000000;73030
MVID;D;20151204;0;271.6000000;86650
MVID;D;20151207;0;267.8000000;112040
MVID;D;20151208;0;262.3000000;81050
MVID;D;20151209;0;260.5000000;42430
MVID;D;20151210;0;258.0000000;368050
MVID;D;20151211;0;247.5000000;91490
MVID;D;20151214;0;246.0000000;101510
MVID;D;20151215;0;263.5000000;196710
MVID;D;20151216;0;257.2000000;100520
MVID;D;20151217;0;261.8000000;39440
MVID;D;20151218;0;274.8000000;94430
MVID;D;20151221;0;266.0000000;53530
MVID;D;20151222;0;267.5000000;37980
MVID;D;20151223;0;262.4000000;11200
MVID;D;20151224;0;258.0000000;37330
MVID;D;20151225;0;256.0000000;11500
MVID;D;20151228;0;256.0000000;50830
MVID;D;20151229;0;256.6000000;12960
MVID;D;20151230;0;268.5000000;20400
MVID;D;20160104;0;270.4000000;18800
MVID;D;20160105;0;273.5000000;28090
MVID;D;20160106;0;274.9000000;33620
MVID;D;20160111;0;255.4000000;138870
MVID;D;20160112;0;250.3000000;136570
MVID;D;20160113;0;254.9000000;75270
MVID;D;20160114;0;252.7000000;163760
MVID;D;20160115;0;251.9000000;125780
MVID;D;20160118;0;251.0000000;40870
MVID;D;20160119;0;254.9000000;148160
MVID;D;20160120;0;254.8000000;66190
MVID;D;20160121;0;250.7000000;58270
MVID;D;20160122;0;248.6000000;73810
MVID;D;20160125;0;248.5000000;49980
MVID;D;20160126;0;245.2000000;14490
MVID;D;20160127;0;246.5000000;19920
MVID;D;20160128;0;250.0000000;193050
MVID;D;20160129;0;259.9000000;38110
MVID;D;20160201;0;257.4000000;64870
MVID;D;20160202;0;262.7000000;63510
MVID;D;20160203;0;259.0000000;225730
MVID;D;20160204;0;264.9000000;32720
MVID;D;20160205;0;265.5000000;23070
MVID;D;20160208;0;262.3000000;14520
MVID;D;20160209;0;260.7000000;10990
MVID;D;20160210;0;253.2000000;47000
MVID;D;20160211;0;249.8000000;30950
MVID;D;20160212;0;240.3000000;190520
MVID;D;20160215;0;235.7000000;48520
MVID;D;20160216;0;237.3000000;26700
MVID;D;20160217;0;238.7000000;179790
MVID;D;20160218;0;239.3000000;54570
MVID;D;20160219;0;243.0000000;35260
MVID;D;20160220;0;241.4000000;24540
MVID;D;20160222;0;242.4000000;9910
MVID;D;20160224;0;244.0000000;31140
MVID;D;20160225;0;242.8000000;43300
MVID;D;20160226;0;240.9000000;49890
MVID;D;20160229;0;242.1000000;6540
MVID;D;20160301;0;242.0000000;23990
MVID;D;20160302;0;243.5000000;28850
MVID;D;20160303;0;244.7000000;17960
MVID;D;20160304;0;245.0000000;17600
MVID;D;20160307;0;248.0000000;12700
MVID;D;20160309;0;250.9000000;27230
MVID;D;20160310;0;253.9000000;18420
MVID;D;20160311;0;256.1000000;23940
MVID;D;20160314;0;256.4000000;55210
MVID;D;20160315;0;264.7000000;117100
MVID;D;20160316;0;263.0000000;20950
MVID;D;20160317;0;265.3000000;19370
MVID;D;20160318;0;251.3000000;39180
MVID;D;20160321;0;251.9000000;26980
MVID;D;20160322;0;252.5000000;29760
MVID;D;20160323;0;259.0000000;35850
MVID;D;20160324;0;256.5000000;84960
MVID;D;20160325;0;261.5000000;31620
MVID;D;20160328;0;258.3000000;11410
MVID;D;20160329;0;262.3000000;35430
